medicine,usage,adult_dosage,children_dosage,precautions,side_effects,aliases
Dronol Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Dronom-M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Dronpas 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Dropact 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Dropic M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Dropimac M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Dropod MF 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Dropros-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Droqub-DM Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drorim DM 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drorit 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosal M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosar MF 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosep M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Droser-MF Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Droset M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosier M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosil MF 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosis-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosit M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drospaz M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drospin M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosta M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosten M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosun M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosy M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drosym 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drota-MF Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotac 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotac-MF Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotacid M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotaclear Spas 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotacol M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotacrom M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotacyc M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotader MF 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotadin MF 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotafit-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotaflex MF 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotafor-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotagesic M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotagod-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotagut M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotaheal M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
